txn_id,txn_date,txn_time,txn_datetime,txn_type,sender_id,receiver_id,merchant_id,merchant_category,amount,payment_mode,bank_name,status,is_fraud_flag,device_type
TXN000023,2023-03-02,12:52:59,2023-03-02 12:52:59,P2P,U0049,U0001,,,2173.54,UPI,ICICI,Success,0,Android
TXN000024,2024-10-30,05:54:19,2024-10-30 05:54:19,P2M,U0005,,M044,Recharge & Bills,834.4,UPI,PNB,Success,0,Android
TXN000025,2024-11-15,06:49:30,2024-11-15 06:49:30,P2P,U0053,U0053,,,3167.85,Wallet,PNB,Success,0,iOS
TXN000026,2024-03-13,12:30:33,2024-03-13 12:30:33,Bill Payment,U0069,,M019,Shopping,528.38,UPI Lite,Bank of Baroda,Success,0,Android
TXN000027,2024-04-23,12:29:21,2024-04-23 12:29:21,P2M,U0110,,M020,Fuel,2783.71,UPI,Bank of Baroda,Success,0,iOS
TXN000028,2023-11-30,12:23:10,2023-11-30 12:23:10,P2P,U0064,U0197,,,3547.78,UPI,Canara,Success,0,Android
TXN000029,2024-07-14,03:45:46,2024-07-14 03:45:46,P2M,U0128,,M071,Recharge & Bills,639.9,UPI Lite,Axis,Success,0,Android
TXN000030,2024-04-16,09:56:12,2024-04-16 09:56:12,Recharge,U0155,,M027,Healthcare,999.0,UPI Lite,Yes Bank,Success,0,Android
TXN000031,2023-07-07,06:05:22,2023-07-07 06:05:22,P2M,U0123,,M064,Insurance,19601.34,UPI Lite,Yes Bank,Success,0,iOS
TXN000032,2024-10-30,14:44:09,2024-10-30 14:44:09,P2P,U0185,U0163,,,1363.23,Wallet,HDFC,Success,0,Android
TXN000033,2023-02-22,10:53:54,2023-02-22 10:53:54,Bill Payment,U0242,,M010,Education,280.11,UPI,Yes Bank,Success,0,Android
TXN000034,2024-07-07,12:22:07,2024-07-07 12:22:07,P2P,U0204,U0260,,,2900.55,Wallet,Bank of Baroda,Success,0,Android
TXN000035,2023-08-04,12:22:24,2023-08-04 12:22:24,P2M,U0275,,M069,Shopping,5005.17,UPI,Canara,Success,0,Web
TXN000036,2024-08-15,19:31:44,2024-08-15 19:31:44,P2P,U0168,U0201,,,5885.05,UPI Lite,Axis,Success,0,Android
TXN000037,2023-03-08,23:07:22,2023-03-08 23:07:22,P2M,U0224,,M031,Grocery,362.14,UPI Lite,Canara,Failed,1,Android
TXN000038,2023-04-17,13:48:47,2023-04-17 13:48:47,P2M,U0090,,M016,Grocery,235.46,Wallet,Yes Bank,Success,0,Android
TXN000039,2024-08-05,08:50:41,2024-08-05 08:50:41,Bill Payment,U0133,,M022,Shopping,1984.97,Wallet,Axis,Success,0,iOS
TXN000040,2023-07-31,06:05:08,2023-07-31 06:05:08,P2P,U0016,U0172,,,8080.72,Wallet,PNB,Success,0,iOS
TXN000041,2023-10-07,17:11:45,2023-10-07 17:11:45,P2M,U0040,,M064,Insurance,23032.29,UPI,PNB,Success,0,Android
TXN000042,2023-03-31,13:58:27,2023-03-31 13:58:27,P2M,U0053,,M074,Insurance,33868.96,UPI,PNB,Success,0,iOS
TXN000043,2024-12-15,18:15:58,2024-12-15 18:15:58,P2P,U0024,U0242,,,3671.57,UPI,SBI,Success,0,Android
TXN000044,2023-07-12,19:57:40,2023-07-12 19:57:40,Recharge,U0215,,M029,Healthcare,299.0,UPI Lite,HDFC,Success,0,Android
TXN000045,2024-01-25,22:43:17,2024-01-25 22:43:17,Recharge,U0293,,M048,Recharge & Bills,49.0,UPI,Axis,Success,0,Android
TXN000046,2024-11-12,04:18:05,2024-11-12 04:18:05,Recharge,U0024,,M052,Education,49.0,Wallet,SBI,Success,0,iOS
TXN000047,2023-10-14,13:09:19,2023-10-14 13:09:19,P2M,U0045,,M071,Recharge & Bills,510.07,UPI Lite,HDFC,Success,0,iOS
TXN000048,2024-01-19,04:54:34,2024-01-19 04:54:34,Bill Payment,U0125,,M060,Insurance,1967.71,UPI,HDFC,Pending,0,iOS
TXN000049,2023-11-15,11:37:37,2023-11-15 11:37:37,P2M,U0126,,M020,Fuel,317.22,UPI Lite,PNB,Success,0,iOS
TXN000050,2024-10-21,10:37:07,2024-10-21 10:37:07,Recharge,U0172,,M001,Travel,399.0,Wallet,IDFC First,Success,0,Android
TXN000051,2023-02-16,12:31:30,2023-02-16 12:31:30,P2M,U0122,,M054,Grocery,1577.68,Wallet,HDFC,Failed,1,Android
TXN000052,2024-06-28,08:43:59,2024-06-28 08:43:59,Wallet Load,U0267,,,,1000.0,Wallet,Kotak,Failed,0,Web
TXN000053,2024-09-28,21:12:58,2024-09-28 21:12:58,P2P,U0049,U0259,,,1378.46,UPI Lite,ICICI,Success,0,Android
TXN000054,2024-10-22,22:10:52,2024-10-22 22:10:52,P2M,U0067,,M031,Grocery,1016.69,UPI Lite,PNB,Success,0,iOS
TXN000055,2023-06-07,10:50:14,2023-06-07 10:50:14,P2M,U0232,,M035,Travel,3657.45,UPI,IDFC First,Success,0,Android
TXN000056,2024-02-21,06:21:27,2024-02-21 06:21:27,P2P,U0239,U0161,,,4094.8,UPI,IDFC First,Success,0,Android
TXN000057,2024-06-16,20:59:21,2024-06-16 20:59:21,P2M,U0062,,M012,Grocery,641.32,UPI Lite,Canara,Success,0,Android
TXN000058,2024-07-06,08:56:05,2024-07-06 08:56:05,Recharge,U0168,,M019,Shopping,49.0,Wallet,Axis,Success,0,Android
TXN000059,2023-05-16,01:07:46,2023-05-16 01:07:46,P2P,U0154,U0134,,,8209.89,Wallet,Bank of Baroda,Success,0,Android
TXN000060,2024-09-08,13:41:10,2024-09-08 13:41:10,P2M,U0049,,M060,Insurance,5544.41,UPI,ICICI,Success,0,Android
TXN000061,2024-12-13,14:06:29,2024-12-13 14:06:29,Recharge,U0191,,M011,Shopping,199.0,UPI,SBI,Success,0,Web
TXN000062,2024-10-20,02:21:31,2024-10-20 02:21:31,P2P,U0228,U0066,,,965.19,Wallet,Kotak,Success,0,Android
TXN000063,2024-12-18,19:03:50,2024-12-18 19:03:50,Wallet Load,U0026,,,,200.0,UPI Lite,Axis,Success,0,Android
TXN000064,2024-12-06,12:01:04,2024-12-06 12:01:04,P2P,U0219,U0089,,,3571.74,Wallet,SBI,Success,0,Android
TXN000065,2024-11-16,16:11:07,2024-11-16 16:11:07,P2P,U0126,U0152,,,5013.97,UPI,PNB,Success,0,Android
TXN000066,2024-09-11,04:50:48,2024-09-11 04:50:48,P2M,U0215,,M026,Grocery,1999.43,UPI Lite,HDFC,Success,0,iOS
TXN000067,2024-02-27,22:32:51,2024-02-27 22:32:51,Wallet Load,U0184,,,,1000.0,Wallet,PNB,Success,0,Web
TXN000068,2023-09-05,16:18:31,2023-09-05 16:18:31,P2M,U0199,,M035,Travel,2861.27,Wallet,Canara,Success,0,Android
TXN000069,2024-08-18,14:58:26,2024-08-18 14:58:26,Wallet Load,U0272,,,,500.0,UPI,Yes Bank,Success,0,Web
TXN000070,2024-09-06,13:43:50,2024-09-06 13:43:50,P2P,U0124,U0137,,,5360.21,UPI,IDFC First,Failed,0,iOS
TXN000071,2023-10-03,14:02:15,2023-10-03 14:02:15,Wallet Load,U0295,,,,1000.0,UPI,Canara,Failed,0,Android
TXN000072,2024-06-28,03:23:59,2024-06-28 03:23:59,P2M,U0184,,M076,Grocery,278.98,UPI,PNB,Success,0,Android
TXN000073,2024-01-16,22:23:51,2024-01-16 22:23:51,P2P,U0253,U0278,,,3125.08,UPI,Axis,Success,0,Android
TXN000074,2024-12-13,22:49:30,2024-12-13 22:49:30,P2P,U0270,U0245,,,56.8,UPI,PNB,Success,0,Android
TXN000075,2024-03-31,15:11:15,2024-03-31 15:11:15,P2P,U0166,U0031,,,268.03,UPI,Bank of Baroda,Success,0,iOS
TXN000076,2024-07-01,05:32:25,2024-07-01 05:32:25,Recharge,U0187,,M010,Education,299.0,Wallet,Kotak,Failed,0,Android
TXN000077,2024-07-22,20:01:52,2024-07-22 20:01:52,P2M,U0166,,M018,Insurance,48805.1,UPI Lite,Bank of Baroda,Pending,1,Android
TXN000078,2023-06-23,09:26:35,2023-06-23 09:26:35,Bill Payment,U0288,,M079,Insurance,3977.56,UPI,Bank of Baroda,Success,0,Android
TXN000079,2023-01-02,09:30:55,2023-01-02 09:30:55,Bill Payment,U0151,,M017,Grocery,1053.0,UPI Lite,Canara,Failed,0,Android
TXN000080,2023-05-22,10:14:59,2023-05-22 10:14:59,Wallet Load,U0291,,,,100.0,UPI Lite,Canara,Success,0,Android
TXN000081,2023-03-02,10:25:15,2023-03-02 10:25:15,P2M,U0255,,M019,Shopping,2783.11,Wallet,Bank of Baroda,Success,0,Android
TXN000082,2023-01-09,20:25:47,2023-01-09 20:25:47,Recharge,U0046,,M043,Recharge & Bills,599.0,UPI,ICICI,Success,0,iOS
TXN000083,2023-12-07,09:00:55,2023-12-07 09:00:55,P2M,U0056,,M001,Travel,912.58,Wallet,Bank of Baroda,Pending,0,Android
TXN000084,2024-01-08,10:19:38,2024-01-08 10:19:38,P2M,U0280,,M049,Entertainment,242.0,UPI Lite,HDFC,Success,0,Android
TXN000085,2023-07-22,19:46:23,2023-07-22 19:46:23,P2M,U0018,,M038,Healthcare,198.38,UPI,PNB,Failed,1,iOS
TXN000086,2023-03-14,07:35:49,2023-03-14 07:35:49,P2P,U0039,U0281,,,9421.25,UPI Lite,HDFC,Success,0,iOS
TXN000087,2023-12-04,06:04:54,2023-12-04 06:04:54,Bill Payment,U0221,,M022,Shopping,3115.12,UPI,Canara,Success,0,Android
TXN000088,2024-03-06,09:24:15,2024-03-06 09:24:15,Wallet Load,U0210,,,,5000.0,UPI Lite,PNB,Success,0,Android
TXN000089,2023-11-02,04:13:41,2023-11-02 04:13:41,Bill Payment,U0153,,M031,Grocery,660.4,Wallet,HDFC,Success,0,Android
TXN000090,2024-05-29,04:57:05,2024-05-29 04:57:05,P2M,U0219,,M012,Grocery,1024.74,Wallet,SBI,Success,0,Android
TXN000091,2024-01-03,19:59:48,2024-01-03 19:59:48,P2P,U0088,U0150,,,9771.72,Wallet,IDFC First,Success,0,iOS
TXN000092,2023-10-29,00:01:44,2023-10-29 00:01:44,P2M,U0136,,M012,Grocery,1997.23,Wallet,ICICI,Failed,0,Android
TXN000093,2024-10-12,04:16:44,2024-10-12 04:16:44,P2P,U0226,U0239,,,2670.84,UPI,Canara,Success,0,Android
TXN000094,2024-09-19,17:34:12,2024-09-19 17:34:12,Bill Payment,U0050,,M011,Shopping,3407.08,UPI Lite,Kotak,Success,0,Android
TXN000095,2024-02-20,22:42:43,2024-02-20 22:42:43,P2P,U0199,U0268,,,4215.39,Wallet,Canara,Success,0,Android
TXN000096,2024-10-25,06:35:31,2024-10-25 06:35:31,P2P,U0154,U0041,,,3978.3,UPI Lite,Bank of Baroda,Success,0,Android
TXN000097,2024-08-11,03:01:17,2024-08-11 03:01:17,P2M,U0293,,M080,Travel,2382.23,UPI,Axis,Success,0,Web
TXN000098,2023-03-02,20:53:42,2023-03-02 20:53:42,Recharge,U0065,,M006,Travel,399.0,Wallet,Yes Bank,Pending,0,Android
TXN000099,2023-09-06,08:33:44,2023-09-06 08:33:44,Recharge,U0076,,M077,Entertainment,199.0,UPI,Axis,Failed,0,Android
TXN000100,2024-02-08,15:41:23,2024-02-08 15:41:23,P2M,U0283,,M042,Shopping,6881.67,UPI Lite,IDFC First,Success,0,Android
TXN000101,2023-04-26,02:38:36,2023-04-26 02:38:36,P2M,U0215,,M015,Travel,6333.75,UPI,HDFC,Success,0,Web
TXN000102,2024-11-14,14:55:12,2024-11-14 14:55:12,P2M,U0052,,M037,Insurance,43440.03,Wallet,HDFC,Success,0,iOS
TXN000103,2023-11-09,23:58:44,2023-11-09 23:58:44,P2M,U0243,,M005,Food & Beverages,203.98,UPI Lite,HDFC,Success,0,Android
TXN000104,2024-01-05,02:42:32,2024-01-05 02:42:32,P2M,U0170,,M031,Grocery,338.01,Wallet,Bank of Baroda,Success,1,Android
TXN000105,2023-08-22,09:21:41,2023-08-22 09:21:41,Recharge,U0051,,M030,Grocery,99.0,Wallet,Kotak,Pending,0,iOS
TXN000106,2023-05-26,23:22:30,2023-05-26 23:22:30,P2M,U0214,,M078,Travel,9754.21,Wallet,PNB,Failed,0,iOS
TXN000107,2023-05-04,11:27:40,2023-05-04 11:27:40,Bill Payment,U0192,,M008,Shopping,2673.29,UPI Lite,Axis,Success,0,Android
TXN000108,2023-05-30,17:22:15,2023-05-30 17:22:15,P2P,U0269,U0292,,,338.03,UPI,ICICI,Success,0,iOS
TXN000109,2024-07-01,07:19:43,2024-07-01 07:19:43,P2P,U0234,U0026,,,9184.41,Wallet,Canara,Success,0,iOS
TXN000110,2024-01-15,15:38:42,2024-01-15 15:38:42,P2M,U0064,,M004,Fuel,953.23,Wallet,Canara,Success,0,Android
TXN000111,2024-06-19,01:06:17,2024-06-19 01:06:17,P2M,U0084,,M034,Shopping,6041.9,UPI,Axis,Success,0,Android
TXN000112,2024-06-10,09:09:18,2024-06-10 09:09:18,P2M,U0110,,M029,Healthcare,3272.16,UPI Lite,Bank of Baroda,Success,0,Android
TXN000113,2024-05-17,19:52:49,2024-05-17 19:52:49,Bill Payment,U0005,,M061,Entertainment,4575.27,UPI,PNB,Success,0,Android
TXN000114,2023-10-20,10:00:39,2023-10-20 10:00:39,P2M,U0157,,M036,Food & Beverages,385.14,UPI,HDFC,Success,0,Android
TXN000115,2024-02-02,07:18:24,2024-02-02 07:18:24,Bill Payment,U0204,,M075,Healthcare,691.1,Wallet,Bank of Baroda,Pending,0,Android
TXN000116,2024-01-10,04:15:18,2024-01-10 04:15:18,P2M,U0145,,M039,Recharge & Bills,714.97,UPI Lite,SBI,Pending,0,Android
TXN000117,2024-08-17,13:28:36,2024-08-17 13:28:36,P2M,U0153,,M025,Entertainment,309.9,UPI Lite,HDFC,Success,0,Android
TXN000118,2023-08-18,14:28:11,2023-08-18 14:28:11,P2M,U0072,,M004,Fuel,2069.58,Wallet,ICICI,Success,0,Android
TXN000119,2023-09-24,13:05:50,2023-09-24 13:05:50,Bill Payment,U0299,,M074,Insurance,4116.87,UPI,Kotak,Success,0,iOS
TXN000120,2024-10-18,15:45:25,2024-10-18 15:45:25,P2M,U0244,,M046,Entertainment,810.24,UPI Lite,Yes Bank,Success,0,Android
TXN000121,2024-03-10,05:06:19,2024-03-10 05:06:19,P2P,U0066,U0133,,,7265.61,UPI,Yes Bank,Success,0,Web
TXN000122,2023-06-23,11:08:03,2023-06-23 11:08:03,Recharge,U0046,,M029,Healthcare,299.0,Wallet,ICICI,Success,0,Android
TXN000123,2023-12-27,05:07:28,2023-12-27 05:07:28,Recharge,U0191,,M034,Shopping,199.0,Wallet,SBI,Success,0,Android
TXN000124,2024-11-21,20:06:12,2024-11-21 20:06:12,P2M,U0298,,M080,Travel,1253.99,UPI Lite,Kotak,Success,0,Android
TXN000125,2023-06-05,13:47:56,2023-06-05 13:47:56,P2M,U0028,,M020,Fuel,670.89,Wallet,PNB,Pending,0,Android
TXN000126,2023-09-16,08:39:44,2023-09-16 08:39:44,Recharge,U0093,,M011,Shopping,599.0,UPI,SBI,Success,0,Android
TXN000127,2024-08-23,19:52:23,2024-08-23 19:52:23,P2P,U0232,U0141,,,2133.35,UPI,IDFC First,Success,0,Android
TXN000128,2024-05-07,01:03:49,2024-05-07 01:03:49,Bill Payment,U0046,,M017,Grocery,3149.5,Wallet,ICICI,Success,0,Web
TXN000129,2023-10-17,19:06:51,2023-10-17 19:06:51,P2M,U0020,,M069,Shopping,1755.43,UPI Lite,HDFC,Success,1,Android
TXN000130,2023-09-25,11:08:42,2023-09-25 11:08:42,Bill Payment,U0128,,M029,Healthcare,3528.92,UPI,Axis,Success,0,Android
TXN000131,2023-08-20,14:53:34,2023-08-20 14:53:34,P2M,U0086,,M009,Healthcare,4136.83,Wallet,Yes Bank,Failed,0,iOS
TXN000132,2023-04-14,22:00:56,2023-04-14 22:00:56,P2M,U0173,,M056,Healthcare,4451.07,Wallet,ICICI,Failed,0,iOS
TXN000133,2024-07-18,19:24:33,2024-07-18 19:24:33,P2P,U0207,U0010,,,2322.76,UPI,ICICI,Pending,0,iOS
TXN000134,2024-05-20,06:57:05,2024-05-20 06:57:05,P2M,U0087,,M016,Grocery,1226.46,UPI Lite,Canara,Success,0,Android
TXN000135,2024-05-29,04:00:49,2024-05-29 04:00:49,P2M,U0025,,M077,Entertainment,1492.55,UPI,Yes Bank,Success,0,iOS
TXN000136,2024-01-04,11:23:19,2024-01-04 11:23:19,P2M,U0195,,M016,Grocery,1732.39,UPI Lite,Kotak,Success,0,Android
TXN000137,2024-04-15,09:50:32,2024-04-15 09:50:32,P2M,U0052,,M067,Entertainment,477.97,UPI,HDFC,Success,0,Android
TXN000138,2024-01-22,14:31:43,2024-01-22 14:31:43,P2M,U0145,,M015,Travel,11814.45,Wallet,SBI,Success,0,iOS
TXN000139,2023-11-15,06:24:35,2023-11-15 06:24:35,Wallet Load,U0184,,,,5000.0,UPI,PNB,Success,0,Android
TXN000140,2023-01-03,03:02:24,2023-01-03 03:02:24,Recharge,U0247,,M043,Recharge & Bills,149.0,UPI,IDFC First,Success,0,Web
TXN000141,2024-08-28,11:25:19,2024-08-28 11:25:19,Recharge,U0253,,M020,Fuel,49.0,UPI Lite,Axis,Success,0,iOS
TXN000142,2023-07-25,03:38:50,2023-07-25 03:38:50,Recharge,U0119,,M059,Grocery,199.0,UPI,IDFC First,Success,0,iOS
TXN000143,2023-11-27,21:07:34,2023-11-27 21:07:34,Recharge,U0149,,M047,Insurance,299.0,UPI,PNB,Success,0,iOS
TXN000144,2023-09-13,06:40:54,2023-09-13 06:40:54,Recharge,U0005,,M018,Insurance,99.0,Wallet,PNB,Success,0,Web
TXN000145,2023-05-23,00:55:59,2023-05-23 00:55:59,P2M,U0048,,M048,Recharge & Bills,832.47,Wallet,ICICI,Success,0,Android
TXN000146,2024-09-10,23:28:15,2024-09-10 23:28:15,P2M,U0245,,M054,Grocery,2016.77,UPI Lite,ICICI,Success,0,Android
TXN000147,2023-11-20,03:19:07,2023-11-20 03:19:07,Wallet Load,U0082,,,,100.0,Wallet,ICICI,Failed,0,iOS
TXN000148,2023-10-06,12:46:05,2023-10-06 12:46:05,Bill Payment,U0093,,M079,Insurance,2022.8,UPI Lite,SBI,Success,0,iOS
TXN000149,2023-03-29,17:18:25,2023-03-29 17:18:25,Bill Payment,U0067,,M062,Shopping,4617.91,Wallet,PNB,Failed,0,Android
TXN000150,2024-06-10,13:30:39,2024-06-10 13:30:39,P2M,U0161,,M002,Grocery,2172.79,UPI Lite,Bank of Baroda,Success,0,Android
TXN000151,2024-02-11,07:20:59,2024-02-11 07:20:59,Wallet Load,U0174,,,,2000.0,UPI Lite,Bank of Baroda,Success,0,Android
TXN000152,2024-06-09,07:03:47,2024-06-09 07:03:47,Bill Payment,U0128,,M062,Shopping,1859.6,UPI,Axis,Success,0,iOS
TXN000153,2023-05-02,21:20:17,2023-05-02 21:20:17,P2M,U0028,,M002,Grocery,2001.52,Wallet,PNB,Success,0,iOS
TXN000154,2023-08-05,01:13:29,2023-08-05 01:13:29,P2P,U0252,U0165,,,2446.87,UPI,PNB,Success,0,Android
TXN000155,2024-09-14,08:35:34,2024-09-14 08:35:34,P2M,U0121,,M011,Shopping,3780.94,Wallet,HDFC,Success,0,Android
TXN000156,2023-11-17,06:32:51,2023-11-17 06:32:51,P2P,U0255,U0010,,,1071.3,UPI Lite,Bank of Baroda,Success,0,Android
TXN000157,2024-05-23,10:33:12,2024-05-23 10:33:12,P2P,U0156,U0261,,,5645.21,Wallet,Bank of Baroda,Success,0,Android
TXN000158,2024-08-19,01:40:42,2024-08-19 01:40:42,P2P,U0115,U0233,,,3353.13,Wallet,Bank of Baroda,Success,0,iOS
TXN000159,2024-05-26,18:58:38,2024-05-26 18:58:38,P2M,U0232,,M015,Travel,1642.07,UPI Lite,IDFC First,Success,0,Web
TXN000160,2023-02-05,13:21:56,2023-02-05 13:21:56,P2M,U0268,,M048,Recharge & Bills,730.89,UPI Lite,Kotak,Success,0,iOS
TXN000161,2023-04-04,18:51:53,2023-04-04 18:51:53,P2M,U0131,,M079,Insurance,10198.11,UPI,IDFC First,Success,1,iOS
TXN000162,2024-10-12,11:30:07,2024-10-12 11:30:07,P2P,U0213,U0024,,,9269.93,UPI,PNB,Success,0,iOS
TXN000163,2023-01-04,08:51:33,2023-01-04 08:51:33,P2M,U0259,,M018,Insurance,48210.81,Wallet,ICICI,Success,0,iOS
TXN000164,2023-05-15,21:04:32,2023-05-15 21:04:32,P2M,U0261,,M023,Healthcare,3489.91,Wallet,ICICI,Success,0,iOS
TXN000165,2023-11-22,04:28:35,2023-11-22 04:28:35,P2M,U0165,,M065,Food & Beverages,714.6,Wallet,SBI,Success,1,Android
TXN000166,2023-04-18,07:51:43,2023-04-18 07:51:43,P2M,U0151,,M058,Entertainment,1226.72,UPI Lite,Canara,Success,0,Android
TXN000167,2024-05-06,08:12:25,2024-05-06 08:12:25,Recharge,U0281,,M041,Fuel,999.0,UPI,Kotak,Success,0,Android
TXN000168,2024-05-19,22:29:18,2024-05-19 22:29:18,P2M,U0177,,M017,Grocery,2947.74,UPI Lite,IDFC First,Failed,1,iOS
TXN000169,2024-03-28,16:17:46,2024-03-28 16:17:46,P2M,U0060,,M046,Entertainment,887.19,Wallet,HDFC,Success,0,iOS
TXN000170,2024-09-19,19:53:35,2024-09-19 19:53:35,Recharge,U0274,,M037,Insurance,399.0,UPI,HDFC,Success,0,Android
TXN000171,2024-09-02,03:22:53,2024-09-02 03:22:53,P2P,U0029,U0103,,,2706.43,Wallet,Kotak,Success,0,iOS
TXN000172,2024-02-25,08:10:44,2024-02-25 08:10:44,P2P,U0032,U0152,,,2079.81,Wallet,Kotak,Success,0,Android
TXN000173,2023-10-30,01:22:22,2023-10-30 01:22:22,Recharge,U0288,,M029,Healthcare,999.0,UPI Lite,Bank of Baroda,Success,0,Android
TXN000174,2024-09-04,03:27:49,2024-09-04 03:27:49,Bill Payment,U0196,,M050,Recharge & Bills,2199.52,Wallet,HDFC,Pending,0,Web
TXN000175,2024-08-29,13:29:42,2024-08-29 13:29:42,P2P,U0129,U0104,,,6224.59,Wallet,Yes Bank,Success,0,iOS
TXN000176,2024-07-27,13:42:22,2024-07-27 13:42:22,Recharge,U0189,,M076,Grocery,999.0,UPI Lite,Axis,Success,0,Web
TXN000177,2023-05-15,23:46:33,2023-05-15 23:46:33,P2M,U0091,,M010,Education,4146.04,UPI,HDFC,Success,0,Android
TXN000178,2023-07-18,01:50:44,2023-07-18 01:50:44,P2M,U0067,,M021,Insurance,29407.31,UPI,PNB,Success,0,Android
TXN000179,2024-04-23,03:46:38,2024-04-23 03:46:38,Wallet Load,U0027,,,,5000.0,Wallet,Bank of Baroda,Success,0,Android
TXN000180,2023-09-04,21:19:16,2023-09-04 21:19:16,P2M,U0184,,M010,Education,15788.61,UPI Lite,PNB,Failed,0,Android
TXN000181,2023-03-13,09:59:21,2023-03-13 09:59:21,P2M,U0213,,M070,Entertainment,851.85,UPI Lite,PNB,Failed,0,Android
TXN000182,2024-03-12,00:02:12,2024-03-12 00:02:12,P2M,U0112,,M080,Travel,8051.38,UPI,IDFC First,Pending,0,Android
TXN000183,2023-07-09,09:16:03,2023-07-09 09:16:03,P2M,U0124,,M079,Insurance,45971.06,UPI,IDFC First,Success,1,Android
TXN000184,2024-09-30,13:13:25,2024-09-30 13:13:25,P2M,U0145,,M004,Fuel,2760.61,UPI Lite,SBI,Success,0,Android
TXN000185,2023-03-16,12:45:27,2023-03-16 12:45:27,P2P,U0099,U0165,,,5163.25,UPI Lite,IDFC First,Success,0,Android
TXN000186,2023-11-26,11:50:14,2023-11-26 11:50:14,P2M,U0108,,M028,Travel,13001.27,UPI Lite,Bank of Baroda,Success,0,iOS
TXN000187,2023-04-30,10:11:35,2023-04-30 10:11:35,Bill Payment,U0223,,M010,Education,3785.08,UPI Lite,HDFC,Success,0,Android
TXN000188,2024-03-09,11:26:37,2024-03-09 11:26:37,P2P,U0028,U0092,,,7952.44,UPI,PNB,Success,0,Web
TXN000189,2023-01-14,02:52:13,2023-01-14 02:52:13,P2M,U0231,,M052,Education,8943.99,UPI,SBI,Success,0,Android
TXN000190,2023-02-26,09:09:55,2023-02-26 09:09:55,P2M,U0300,,M006,Travel,10573.05,UPI Lite,ICICI,Success,0,Android
